Country Name,Country Code,Capital City,Longitude,Latitude,Coordinates,,,,
Fiji,FJI,Suva,-18.13333333,178.416667,"-18.1333333333333, 178.416667",COUNTRY,,,
France,FRA,Paris,48.86666667,2.333333,"48.8666666666666, 2.333333",COUNTRY,,,
Faroe Islands,FRO,Torshavn,62,-6.766667,"62, -6.766667",COUNTRY,,,
"Micronesia, Fed. Sts.",FSM,Palikir,6.916666667,158.15,"6.916666667, 158.15",COUNTRY,,,
Gabon,GAB,Libreville,0.383333333,9.45,"0.383333333333333, 9.45",COUNTRY,,,
United Kingdom,GBR,London,51.5,-0.083333,"51.5, -0.083333",COUNTRY,,,
Georgia,GEO,Tbilisi,41.68333333,44.833333,"41.6833333333333, 44.833333",COUNTRY,,,
Ghana,GHA,Accra,5.55,-0.216667,"5.55, -0.216667",COUNTRY,,,
Guinea,GIN,Conakry,9.5,-13.7,"9.5, -13.7",COUNTRY,,,
"Gambia, The",GMB,Banjul,13.45,-16.566667,"13.45, -16.566667",COUNTRY,,,
Guinea-Bissau,GNB,Bissau,11.85,-15.583333,"11.85, -15.583333",COUNTRY,,,
Equatorial Guinea,GNQ,Malabo,3.75,8.783333,"3.75, 8.783333",COUNTRY,,,
Greece,GRC,Athens,37.98333333,23.733333,"37.9833333333333, 23.733333",COUNTRY,,,
Grenada,GRD,Saint George's,12.05,-61.75,"12.05, -61.75",COUNTRY,,,
Greenland,GRL,Nuuk,64.18333333,-51.75,"64.1833333333333, -51.75",COUNTRY,,,
Guatemala,GTM,Guatemala City,14.61666667,-90.516667,"14.6166666666666, -90.516667",COUNTRY,,,
Guam,GUM,Hagatna,13.46666667,144.733333,"13.4666666666666, 144.733333",COUNTRY,,,
Guyana,GUY,Georgetown,6.8,-58.15,"6.8, -58.15",COUNTRY,,,
"Hong Kong SAR, China",HKG,Hong Kong,22.3193,113.1694,"22.3193, 113.1694",COUNTRY,,,
Honduras,HND,Tegucigalpa,14.1,-87.216667,"14.1, -87.216667",COUNTRY,,,
Croatia,HRV,Zagreb,45.8,16,"45.8, 16",COUNTRY,,,
Haiti,HTI,Port-au-Prince,18.53333333,-72.333333,"18.5333333333333, -72.333333",COUNTRY,,,
Hungary,HUN,Budapest,47.5,19.083333,"47.5, 19.083333",COUNTRY,,,
Indonesia,IDN,Jakarta,-6.166666667,106.816667,"-6.16666666666666, 106.816667",COUNTRY,,,
